satellite,x_km,y_km,z_km
3CAT-4_001,1526.1406,-5668.8647,-3632.3425
3CAT-5-A_(TYVAK-0161)_001,-2249.707,4846.8003,1834.5265
3CAT-5-B_(TYVAK-0162)_001,-3280.1855,-572.5586,-5806.059
A-1_(ASTERIX)_001,2242.8381,74.458275,3341.3462
A-SEANSAT-PG1_001,-3558.0564,4877.925,-156.19994
AAC-AIS-SAT-1_001,-3386.7969,-617.9842,-5937.485
AAC-AIS-SAT2_001,-416.15274,-4346.7603,-5239.5615
AAC-AIS-SAT3_001,4718.6255,-4051.0525,2969.2297
AAC-HSI-SAT1_001,-1179.7017,-2647.803,-4983.747
AAC-HSI-SAT2_001,-66.38666,4600.107,4832.2046
AAC-HSI-SAT3_001,-4401.382,2878.6877,-3596.2476
AAUSAT3_001,3590.4583,-6124.2666,-810.9586
AAUSAT_CUBESAT_2_001,-747.7972,4932.5728,4192.7197
AAU_CUBESAT_001,-3233.9512,885.6708,-4469.1226
ABS_1A_(KOREASAT_2)_001,-6204.502,-2345.1838,-9359.734
ABS_2A_001,6008.921,-12456.647,-1002.6338
ABS_2_001,6039.8096,-12462.781,-968.3008
ABS_3A_001,-7196.3,-192.84923,-9268.081
ABS_3_(AGILA_2)_001,-9330.068,9276.527,-3870.597
ABS_4_(MBSAT)_001,3414.1267,-11583.567,-3761.9407
ABS_6_(LMI_1)_001,9814.124,-4858.054,9547.099
ABS_7_(KOREASAT_3)_001,2062.297,6779.897,9834.293
ACRIMSAT_001,-396.85046,-3320.8025,-3987.3086
ACS_3_001,-1495.5309,5628.4624,3745.9856
ACTS_001,-6141.614,13876.857,2962.7185
ADEOS_001,1238.7341,3059.279,5353.6523
ADEOS_2_001,-1286.207,-3542.5054,-5733.0347
ADRAS-J_001,2288.4092,27.09425,3749.3293
ADS-01_001,8853.898,-12068.431,2702.89
AEHF_1_(USA_214)_001,-3399.1033,-6200.4893,-8361.337
AEHF_2_(USA_235)_001,-8223.144,2670.2507,-8435.269
AEHF_3_(USA_246)_001,-5134.8506,13051.778,3626.359
AEHF_4_(USA_288)_001,-9330.083,9712.165,-3814.458
AEHF_5_(USA_292)_001,8104.4307,-12378.703,1577.8492
AEHF_6_(USA_298)_001,10844.658,-8328.589,7849.8623
AEROCUBE_16A_001,-1870.3293,-2816.3901,-5760.449
AEROCUBE_16B_001,-2281.941,-2289.244,-5806.551
AEROCUBE_2_001,-734.7108,-3699.3955,-5339.562
AEROCUBE_4.5A_001,-2281.6638,5297.887,2294.097
AEROCUBE_5C_001,2451.795,-2375.7395,968.7088
AEROCUBE_6A_001,2471.9746,-3559.5098,115.31052
AEROCUBE_6B_001,-2130.3008,5889.5327,2893.6323
AEROCUBE_7_001,3246.3037,-3060.7668,1532.9531
AEROCUBE_8C_001,3816.2188,-5701.4536,-29.139225
AEROCUBE_8D_001,2955.4424,-1200.8949,3320.7834
AETHER-1_001,-3530.795,3668.155,-1353.882
AETHER-2_001,-3653.4634,3527.4421,-1692.0852
AFR-1_001,-1171.9401,2002.87,456.84082
AFRICASAT_1_(MEASAT_1)_001,10717.422,-10043.918,6290.587
AFRISTAR_001,8859.769,-3072.2937,10004.93
AFRL-XVI_001,-583.412,-35.8546,-846.0228
AGILA_001,11392.434,-10444.501,6866.6177
AGILA_1_(PALAPA_B2P)_001,5730.717,3813.3442,12289.663
AII-BRAVO_001,1496.7723,2800.9417,5451.268
AISAT_001,-667.72095,-2994.7505,-4584.027
AISSAT_1_001,-4368.115,4362.0303,-1915.734
AISSAT_2_001,-120.219765,-2309.4695,-3175.43
AISTECHSAT-2_001,3823.7637,-5387.331,157.7663
AIST_1_001,4970.2607,-3296.7625,4110.2544
AIST_2_001,2343.9143,1672.3322,5461.0015
